�tem,Norte,Este,Muestra,De,Hasta,potencia,Vs (m/s),Vp (m/s),Nspt,(N1)60,SUCS,LL %,LP,IP %,W%,� �,C (Kg/cm2),? h�meda (gr/cm3),? seca (gr/cm3),Qadm. (kg/cm2),Qult. (kg/cm2),Tipo de Suelo,SST (ppm),SO4 (ppm),CL (ppm),pH (ppm),Colapso,Gravas,Arenas,Finos,tipo_ensayo,profundidad_media
C-1,,,M-1,0.0,3.0,3.0,,,,,SC,,,,17.0,"28,19",,,,,,S1,2676.0,1247.0,660.0,,Leve,0.0,,,C,1.5
C-1 ,,,M-2,3.0,5.0,2.0,,,,,GP,,,,,,,,,,,S1,,,,,Leve,,,3.0,C,4.0
C-2,,,M-1,0.0,,,,,,,SP-SM,,,,,,,,,,,S1,,,,,,1.0,90.0,9.0,C,
C-2,,,M-2,,,,,,,,SM,,,,,,,,,,,S1,,,,,,,,,C,
C-2,,,M-3,,5.0,,,,,,GW-GM,,,,,,,,,,,S1,,,,,,,,,C,
C-3,,,M-1,0.0,,,,,,,SP-SM,,,,4.0,,,,,,,S1,,,,,,,,,C,
C-3,,,M-2,,3.0,,,,,,GP-GM,,,,,,,,,,,S1,,,,,,,,,C,
C-3,,,M-3,3.0,,,,,,,SM,,,,,,,,,,,S1,4704.0,1309.0,660.0,,,,,,C,
C-4,,,M-1,0.0,3.0,3.0,,,,,SP-SM,,,,,,,,,,,S1,,,,,Leve,,,,C,1.5
C-4,,,M-2,3.0,,,,,,,GP-GM,,,,,"32,41",0.0,,,,,S1,417.0,206.0,100.0,,Leve,,,,C,
C-5,,,M-1,0.0,,,,,,,SC,,,,,,,,,,,S1,,,,,,,,,C,
C-5,,,M-2,,2.0,,,,,,SM,,25.0,,18.0,,,,,,,S1,,,,,,,59.0,,C,
C-5,,,M-3,2.0,,,,,,,SP-SM,,,,,,,,,,,S1,,,,,,,,,C,
C-5,,,M-4,,3.0,,,,,,SP-SM,,,,,,,,,,,S1,,,,,,,,10.0,C,
C-5,,,M-5,3.0,5.0,2.0,,,,,GC,,,,,,,,,,,S1,,,,,,,,,C,4.0
C-6,,,M-1,0.0,,,,,,,SM,,,,,,,,,,,S1,,,,,,,,,C,
C-6,,,M-2,,,,,,,,SC,,,,15.0,,,,,,,S1,,,,,,0.0,,,C,
C-6,,,M-3,,4.0,,,,,,GP-GM,,,,,,,,,,,S1,,,,,,,,,C,
C-6,,,M-4,4.0,,,,,,,GP-GM,,,,,,,,,,,S1,15768.0,7312.0,2860.0,,,,,,C,
MW-1,,,M-1,0.0,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-2,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-3,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-4,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-5,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-6,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-7,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-8,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-9,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-10,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-11,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-12,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-13,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-14,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-1,,,M-15,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-1,0.0,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-2,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-3,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-4,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-5,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-6,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-7,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-8,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-9,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-10,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-11,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-12,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-13,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-14,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
MW-2,,,M-15,,,,,,,,,,,,,,,,,,,S1,,,,,,,,,MW,
